Name,ROM,Display,Camera,Discount,Rating,Selling Price,MRP
Samsung Guru 1200,4 MB RAM | 10 MB ROM,3.86 cm (1.52 inch) Display,800 mAh Battery,53% off,3.1,₹750,"₹1,599"
Samsung Guru 1200,4 MB RAM | 10 MB ROM,3.86 cm (1.52 inch) Display,800 mAh Battery,53% off,3.1,₹920,"₹1,999"
Samsung Guru Music 2 B310ED,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB,4.57 cm (1.8 inch) VGA Display,0MP | 0MP Front Camera,50% off,3.1,₹984,"₹1,999"
"Samsung Galaxy F36 5G (Violet, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,23% off,4.3,"₹17,499","₹22,999"
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)",6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,25% off,4.2,"₹12,999","₹17,499"
"Samsung Galaxy F16 5G (Glam Green, 128 GB)",6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,25% off,4.2,"₹12,999","₹17,499"
Samsung Guru Music 2 B310ED,24 MB RAM | 24 MB ROM,6.1 cm (2.4 inch) NA Display,0.2MP Rear Camera,59% off,3,₹970,"₹2,399"
Samsung Guru Music 2,10 MB RAM | 10 MB ROM,5.08 cm (2 inch) Display,1100 mAh Battery,51% off,3.1,₹974,"₹1,999"
Samsung Guru 1200,4 MB RAM | 10 MB ROM,3.86 cm (1.52 inch) Display,800 mAh Battery,51% off,3.1,₹768,"₹1,599"
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,35% off,4.3,"₹21,999","₹33,999"
"Samsung Galaxy F16 5G (Bling Black, 128 GB)",6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,25% off,4.2,"₹12,999","₹17,499"
Samsung S 110 GOLD,4 MB RAM | 4 MB ROM,4.06 cm (1.6 inch) Display,0.1MP Rear Camera,31% off,3.3,"₹1,099","₹1,600"
"Samsung Galaxy A06 5G (Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 50MP | 2MP + 2MP Dual Front Camera,35% off,4,"₹9,999","₹15,499"
